 ;dry.toilet;uddt;pour.flush;cistern.flush;urinal;micro.flush;single.pit;double.pit;dehydration.vault;septic.tank;vermi.composter;urine.storage.tank;fossa.alterna;terra.preta;humanpowered.transport;motorized.transport;simplified.sewer;solidsfree.sewer;conventional.sewer;abr;wsp;vf.constructed.wetland;biogas.reactor;drying.bed;uasb;hf.constructed.wetland;cocomposting;struvite.production;application.urine;application.compost;irrigation;soak.pit;biogas.combustion;vertical.gardens;application.struvite
;;;;;;;a=2, b=5, c=+Inf, d=+Inf;a=2, b=5, c=+Inf, d=+Inf;lower=0, upper=+Inf;a=0, b=2, c=+Inf, d=+Inf;lower=0, upper=+Inf;lower=0, upper=+Inf;a=2, b=5, c=+Inf, d=+Inf;lower=0, upper=+Inf;;;;;;a=0, b=2, c=+Inf, d=+Inf;a=2, b=5, c=+Inf, d=+Inf;a=2, b=5, c=+Inf, d=+Inf;a=0, b=2, c=+Inf, d=+Inf;a=2, b=5, c=+Inf, d=+Inf;lower=0, upper=+Inf;a=2, b=5, c=+Inf, d=+Inf;lower=0, upper=+Inf;lower=0, upper=+Inf;lower=0, upper=+Inf;lower=0, upper=+Inf;lower=0, upper=+Inf;a=2, b=5, c=+Inf, d=+Inf;lower=0, upper=+Inf;lower=0, upper=+Inf;lower=0, upper=+Inf
attr39;;;;;;;excavation;excavation;excavation;excavation;excavation;excavation;excavation;excavation;excavation;excavation;excavation;excavation;excavation;excavation;excavation;excavation;excavation;excavation;excavation;excavation;excavation;excavation;excavation;excavation;excavation;excavation;excavation;excavation;excavation
;;;;;;;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat
;;;;;;;c(easy=1, hard=0);c(easy=1, hard=0);c(easy=1, hard=1);c(easy=1, hard=0);c(easy=1, hard=1);c(easy=1, hard=1);c(easy=1, hard=0);c(easy=1, hard=0);c(easy=1, hard=1);c(easy=1, hard=1);c(easy=1, hard=0);c(easy=1, hard=0);c(easy=1, hard=0);c(easy=1, hard=0);c(easy=1, hard=0);c(easy=1, hard=0);c(easy=1, hard=0.5);c(easy=1, hard=0);c(easy=1, hard=0);c(easy=1, hard=0);c(easy=1, hard=1);c(easy=1, hard=1);c(easy=1, hard=1);c(easy=1, hard=1);c(easy=1, hard=1);c(easy=1, hard=0);c(easy=1, hard=1);c(easy=1, hard=1);c(easy=1, hard=1)
attr40;constrskill;constrskill;constrskill;constrskill;constrskill;constrskill;constrskill;constrskill;constrskill;constrskill;constrskill;constrskill;constrskill;constrskill;constrskill;constrskill;constrskill;constrskill;constrskill;constrskill;constrskill;constrskill;constrskill;constrskill;constrskill;constrskill;constrskill;constrskill;constrskill;constrskill;constrskill;constrskill;constrskill;constrskill;constrskill
;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat
;c(low=1, moderate=0, high=0);c(low=0, moderate=0.5, high=0.5);c(low=0.5, moderate=0.5, high=0);c(low=0, moderate=1, high=0);c(low=0.5, moderate=0.5, high=0);c(low=0.5, moderate=0.5, high=0);c(low=1, moderate=0, high=0);c(low=1, moderate=0, high=0);c(low=0.5, moderate=0.5, high=0);c(low=0, moderate=0.5, high=0.5);c(low=0, moderate=1, high=0);c(low=1, moderate=0, high=0);c(low=0, moderate=1, high=0);c(low=0, moderate=1, high=0);c(low=0.5, moderate=0.5, high=0);c(low=0, moderate=1, high=0);c(low=0, moderate=0.5, high=0.5);c(low=0, moderate=0.5, high=0.5);c(low=0, moderate=0.5, high=0.5);c(low=0, moderate=0.5, high=0.5);c(low=0, moderate=0.5, high=0.5);c(low=0, moderate=0.5, high=0.5);c(low=0, moderate=0.5, high=0.5);c(low=0, moderate=0.5, high=0.5);c(low=0, moderate=0.5, high=0.5);c(low=0, moderate=0.5, high=0.5);c(low=0, moderate=1, high=0);c(low=0, moderate=0.5, high=0.5);c(low=1, moderate=0, high=0);c(low=1, moderate=0, high=0);c(low=0, moderate=0.5, high=0.5);c(low=1, moderate=0, high=0);c(low=0.5, moderate=0.5, high=0);c(low=0.5, moderate=0.5, high=0);c(low=1, moderate=0, high=0)
attr41;designskill;designskill;designskill;designskill;designskill;designskill;designskill;designskill;designskill;designskill;designskill;designskill;designskill;designskill;designskill;designskill;designskill;designskill;designskill;designskill;designskill;designskill;designskill;designskill;designskill;designskill;designskill;designskill;designskill;designskill;designskill;designskill;designskill;designskill;designskill
;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat
;c(low=1, moderate=0, high=0);c(low=0, moderate=0.5, high=0.5);c(low=0.5, moderate=0.5, high=0);c(low=0, moderate=1, high=0);c(low=1, moderate=0, high=0);c(low=1, moderate=0, high=0);c(low=1, moderate=0, high=0);c(low=1, moderate=0, high=0);c(low=0.5, moderate=0.5, high=0);c(low=0, moderate=0, high=1);c(low=0, moderate=1, high=0);c(low=1, moderate=0, high=0);c(low=0, moderate=1, high=0);c(low=0, moderate=1, high=0);c(low=0.5, moderate=0.5, high=0);c(low=0, moderate=1, high=0);c(low=0, moderate=0, high=1);c(low=0, moderate=0, high=1);c(low=0, moderate=0, high=1);c(low=0, moderate=0, high=1);c(low=0, moderate=0, high=1);c(low=0, moderate=0, high=1);c(low=0, moderate=0, high=1);c(low=0, moderate=0, high=1);c(low=0, moderate=0, high=1);c(low=0, moderate=0, high=1);c(low=0, moderate=1, high=0);c(low=0, moderate=0.5, high=0.5);c(low=1, moderate=0, high=0);c(low=1, moderate=0, high=0);c(low=0, moderate=0, high=1);c(low=1, moderate=0, high=0);c(low=1, moderate=0, high=0);c(low=0, moderate=0.5, high=0.5);c(low=1, moderate=0, high=0)
attr42;omskill;omskill;omskill;omskill;omskill;omskill;omskill;omskill;omskill;omskill;omskill;omskill;omskill;omskill;omskill;omskill;omskill;omskill;omskill;omskill;omskill;omskill;omskill;omskill;omskill;omskill;omskill;omskill;omskill;omskill;omskill;omskill;omskill;omskill;omskill
;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat
;c(low=1, moderate=0, high=0);c(low=0.5, moderate=0.5, high=0);c(low=0.5, moderate=0.5, high=0);c(low=0.5, moderate=0.5, high=0);c(low=1, moderate=0, high=0);c(low=1, moderate=0, high=0);c(low=1, moderate=0, high=0);c(low=1, moderate=0, high=0);c(low=1, moderate=0, high=0);c(low=0.5, moderate=0.5, high=0);c(low=0.5, moderate=0.5, high=0);c(low=1, moderate=0, high=0);c(low=1, moderate=0, high=0);c(low=1, moderate=0, high=0);c(low=1, moderate=0, high=0);c(low=0, moderate=1, high=0);c(low=0, moderate=0, high=1);c(low=0, moderate=0, high=1);c(low=0, moderate=0, high=1);c(low=0.5, moderate=0.5, high=0);c(low=1, moderate=0, high=0);c(low=1, moderate=0, high=0);c(low=1, moderate=0, high=0);c(low=0.5, moderate=0.5, high=0);c(low=0, moderate=0, high=1);c(low=1, moderate=0, high=0);c(low=1, moderate=0, high=0);c(low=0, moderate=1, high=0);c(low=1, moderate=0, high=0);c(low=1, moderate=0, high=0);c(low=1, moderate=0, high=0);c(low=1, moderate=0, high=0);c(low=0.5, moderate=0.5, high=0);c(low=1, moderate=0, high=0);c(low=1, moderate=0, high=0)
attr43;orgcapacity;orgcapacity;orgcapacity;orgcapacity;orgcapacity;orgcapacity;orgcapacity;orgcapacity;orgcapacity;orgcapacity;orgcapacity;orgcapacity;orgcapacity;orgcapacity;orgcapacity;orgcapacity;orgcapacity;orgcapacity;orgcapacity;orgcapacity;orgcapacity;orgcapacity;orgcapacity;orgcapacity;orgcapacity;orgcapacity;orgcapacity;orgcapacity;orgcapacity;orgcapacity;orgcapacity;orgcapacity;orgcapacity;orgcapacity;orgcapacity
;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat
;c(household=1, shared=1, public=0);c(household=1, shared=1, public=0);c(household=1, shared=1, public=1);c(household=1, shared=1, public=1);c(household=1, shared=1, public=1);c(household=1, shared=1, public=0.5);c(household=1, shared=1, public=0);c(household=1, shared=1, public=0.5);c(household=1, shared=1, public=0.5);c(household=1, shared=1, public=1);c(household=1, shared=0.5, public=0);c(household=1, shared=1, public=1);c(household=1, shared=1, public=0.5);c(household=1, shared=1, public=1);c(household=1, shared=1, public=1);c(household=0, shared=0.5, public=1);c(household=0.5, shared=1, public=1);c(household=0.5, shared=1, public=1);c(household=0, shared=0, public=1);c(household=0.5, shared=1, public=1);c(household=0, shared=0.5, public=1);c(household=0.5, shared=0.5, public=1);c(household=1, shared=1, public=1);c(household=0, shared=0, public=1);c(household=0, shared=0, public=1);c(household=1, shared=1, public=1);c(household=0, shared=0.5, public=1);c(household=0, shared=0.5, public=1);c(household=1, shared=1, public=1);c(household=1, shared=1, public=0.5);c(household=1, shared=1, public=1);c(household=1, shared=1, public=0);c(household=1, shared=1, public=1);c(household=1, shared=1, public=0.5);c(household=1, shared=1, public=1)
attr44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
attr45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
attr46;relconstraints;relconstraints;relconstraints;relconstraints;relconstraints;relconstraints;relconstraints;relconstraints;relconstraints;relconstraints;relconstraints;relconstraints;relconstraints;relconstraints;relconstraints;relconstraints;relconstraints;relconstraints;relconstraints;relconstraints;relconstraints;relconstraints;relconstraints;relconstraints;relconstraints;relconstraints;relconstraints;relconstraints;;;;;;;
;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;;;;;;;
;c(water=1, soft=1, hard=1);c(water=1, soft=1, hard=1);c(water=1, soft=0.5, hard=0);c(water=1, soft=1, hard=0);c(water=1, soft=1, hard=1);c(water=1, soft=0.5, hard=0);c(water=1, soft=1, hard=1);c(water=1, soft=1, hard=1);c(water=0.5, soft=1, hard=0.5);c(water=1, soft=1, hard=0);c(water=1, soft=1, hard=1);c(water=0.5, soft=1, hard=1);c(water=1, soft=1, hard=0.5);c(water=1, soft=1, hard=0.5);c(water=1, soft=1, hard=0);c(water=1, soft=1, hard=0.5);c(water=1, soft=1, hard=0);c(water=1, soft=1, hard=0);c(water=1, soft=1, hard=0);c(water=1, soft=1, hard=0);c(water=1, soft=1, hard=0);c(water=1, soft=1, hard=0);c(water=1, soft=1, hard=0);c(water=1, soft=1, hard=1);c(water=1, soft=1, hard=0);c(water=1, soft=1, hard=0);c(water=1, soft=1, hard=1);c(water=1, soft=1, hard=1);;;;;;;
attr47;cultconstraints;cultconstraints;cultconstraints;cultconstraints;cultconstraints;cultconstraints;cultconstraints;cultconstraints;cultconstraints;cultconstraints;cultconstraints;cultconstraints;cultconstraints;cultconstraints;cultconstraints;cultconstraints;cultconstraints;cultconstraints;cultconstraints;cultconstraints;cultconstraints;cultconstraints;cultconstraints;cultconstraints;cultconstraints;cultconstraints;cultconstraints;cultconstraints;cultconstraints;cultconstraints;cultconstraints;cultconstraints;cultconstraints;cultconstraints;cultconstraints
;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat
;c(contact=0.5, nocontact=0.5);c(contact=0.5, nocontact=0.5);c(contact=0, nocontact=1);c(contact=0, nocontact=1);c(contact=0, nocontact=1);c(contact=0, nocontact=1);c(contact=0.5, nocontact=0.5);c(contact=0.5, nocontact=0.5);c(contact=0.5, nocontact=0.5);c(contact=0, nocontact=1);c(contact=0.5, nocontact=0.5);c(contact=0, nocontact=1);c(contact=0.5, nocontact=0.5);c(contact=0.5, nocontact=0.5);c(contact=1, nocontact=0);c(contact=1, nocontact=0);c(contact=0, nocontact=1);c(contact=0, nocontact=1);c(contact=0, nocontact=1);c(contact=0, nocontact=1);c(contact=0, nocontact=1);c(contact=0, nocontact=1);c(contact=0.5, nocontact=0.5);c(contact=0.5, nocontact=0.5);c(contact=0, nocontact=1);c(contact=0, nocontact=1);c(contact=0.5, nocontact=0.5);c(contact=0, nocontact=1);c(contact=0, nocontact=1);c(contact=0.5, nocontact=0.5);c(contact=0, nocontact=1);c(contact=0, nocontact=1);c(contact=0.5, nocontact=0.5);c(contact=0, nocontact=1);c(contact=0, nocontact=1)
attr48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
attr49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
attr50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
attr51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
attr52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
attr53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
attr54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
attr55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
attr56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
attr57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
attr58;;;;;;;popdensity;popdensity;popdensity;popdensity;popdensity;popdensity;popdensity;popdensity;popdensity;popdensity;popdensity;popdensity;popdensity;;;;;;;;;;popdensity;popdensity;popdensity;popdensity;popdensity;popdensity;popdensity
;;;;;;;prange;prange;prange;prange;prange;prange;prange;prange;prange;prange;prange;prange;prange;;;;;;;;;;prange;prange;prange;prange;prange;prange;prange
;;;;;;;lower=0, upper=500;lower=0, upper=500;lower=0, upper=500;lower=0, upper=+Inf;lower=0, upper=+Inf;lower=0, upper=+Inf;lower=0, upper=+Inf;lower=0, upper=+Inf;lower=0, upper=+Inf;lower=50, upper=+Inf;lower=160, upper=+Inf;lower=160, upper=+Inf;lower=160, upper=+Inf;;;;;;;;;;lower=0, upper=+Inf;lower=0, upper=+Inf;lower=0, upper=+Inf;lower=0, upper=500;lower=0, upper=+Inf;lower=0, upper=+Inf;lower=0, upper=+Inf
attr59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
